"Спасибо ! ";simpleTree;общеразговорные
"Ставропольский край . г Ессентуки . ул Октябрьская *** кв16 . ****** индекс . Курдус **** ******** . ********** * . Если можно напишите номер Карты . я перешлю деньги сразу . спасибо большое ! ";simpleTree;"вопросы о сервисе"
"Здравствуйте **** . Можно ли заказать следующие модели : Блуза модель ** легкая ткань цена **** руб ( ***** размер ) , Блуза мод *** Плотная ткань цена **** руб ( ***** размер ) , Блуза м ********* руб ( ***** размер ) , брюки м *** ткань легкая **** руб . Спасибо . ";simpleTree;"вопросы о товаре"
"Спасибо ) ";simpleTree;общеразговорные
"Можете сказать фирму блузы ? ";simpleTree;"вопросы о товаре"
"Спасибо ) ";simpleTree;общеразговорные
"Спасибо я вам напишу в течение недели , какова доставка ? ";simpleTree;"более 1 категории"
"Здравствуйте ! Меня заинтересовал этот товар . Где узнать размерный ряд ? ";simpleTree;"вопросы о товаре"
"Да .. ";simpleTree;общеразговорные
"Да дороги плохие зимой ! ";simpleTree;другие
"Не могу понять почему так жизнь несправедлива ( ";simpleTree;другие
"Ага ( ";simpleTree;общеразговорные
"Из дисков ? ";simpleTree;"вопросы о товаре"
"***** , может рамку эту ? ";simpleTree;"вопросы о товаре"
"Кайфовая штука ";simpleTree;общеразговорные
"В сб ) да жду , но еще позвоню , а то может они со мной одной возиться не будут ";simpleTree;"вопросы о сервисе"
"Спасибо , ***** ";simpleTree;общеразговорные
"Ты правда скажи ей , ***** , скажи что неприятно ловить взгляды такие было ";simpleTree;другие
"Видала ) ) ) поняла , что грубанула ";simpleTree;другие
"Ну да ) ";simpleTree;другие
"Она рассказывала , что с папой был разговор и что много советов дал ";simpleTree;другие
"Ненадолго хватает ";simpleTree;другие
"Причём ей все поголовно говорят , в том числе отец ";simpleTree;другие
"Меня б тоже ! ****** ******* тоже жаль ... ";simpleTree;другие
"Просто если ей так стремно , что мы грязнили , зачем тогда звать в гости ) ";simpleTree;другие
"Ну да ";simpleTree;общеразговорные
"**** сидела молчала ";simpleTree;другие
"Ну типа как так можно и Сане нашу грязную одежду показывала ";simpleTree;другие
"Мне знаешь ещё что неприятно бывает , мы как-то были у них и Деля фломастеры взяла и вся выпачкалась , так Катюха с таким пренебрежением на неё , типа мы свиньи ";simpleTree;другие
"Я бы на твоём месте ей поедъявила ";simpleTree;другие
"Ну да ";simpleTree;общеразговорные
"Пусть поймёт , что тебе теперь никайф ";simpleTree;другие
"***** , не советую ехать сегодня ";simpleTree;другие
"Да нет пока ";simpleTree;общеразговорные
"Да все ок ";simpleTree;общеразговорные
"В течении скольких дней будет доставка в ******** ";simpleTree;"вопросы о сервисе"
"** ";simpleTree;другие
"низ подошел даже свободно как-то , а верх маловат , я думаю лучше с подворотом , главное **** , этот розовый как для барби , я хотела как на фото тёмный прямо ";simpleTree;"вопросы о товаре"
"насчет обмена ";simpleTree;"вопросы о сервисе"
"а как ? ";simpleTree;общеразговорные
"блуза маленькая оказалась , но это мой косяк ";simpleTree;"вопросы о товаре"
"почему **** фуксия , был же лиловый ? ? ? ";simpleTree;"вопросы о товаре"
"мы говорили про брюки с резинками , почему прислали с подворотами ? ? ? ";simpleTree;"вопросы о сервисе"
"спасибо ";simpleTree;общеразговорные
"напишете перед отправкой , оплачу по карте ";simpleTree;"вопросы о сервисе"
"что по поводу оплаты ? ";simpleTree;"вопросы о сервисе"
"рост *** обх . груди *** обх . бедер *** ";simpleTree;"вопросы о товаре"
"********** * ";simpleTree;другие
"********** * ";simpleTree;другие
"да ";simpleTree;общеразговорные
"можно сшить брюки такого же цвета и к ним вот такую блузу ? ";simpleTree;"вопросы о товаре"
"я согласна ";simpleTree;общеразговорные
"и ***** доставку выходит **** ";simpleTree;"вопросы о сервисе"
"сколько будет стоить ? ";simpleTree;"вопросы о товаре"
"как на * втором фото , там же вроде резинки внизу или нет ? ";simpleTree;"вопросы о товаре"
"скажите пожалуйста у вас не шьют брюки такие как на комбинезоне , в смысле отдельно от верха , давно такие хотела и нигде не могу найти , везде быстро раскупают ";simpleTree;"вопросы о товаре"
"т . е выйдет где-то ****** ***** ";simpleTree;"вопросы о товаре"
"Спасибо ";simpleTree;общеразговорные
"Жалко ) ) ";simpleTree;общеразговорные
"*** , скажите пожалуйста , а обувь такая которая на фото девушки , у вас есть в продаже ? ) ) ) ";simpleTree;"вопросы о товаре"
"Я оплачу прямо сейчас ";simpleTree;"вопросы о сервисе"
