,comment,level,label,cleaned
0,Спасибо ! ,simpleTree,общеразговорные,Спасибо о
1,Ставропольский край . г Ессентуки . ул Октябрьская *** кв16 . ****** индекс . Курдус **** ******** . ********** * . Если можно напишите номер Карты . я перешлю деньги сразу . спасибо большое ! ,simpleTree,вопросы о сервисе,Ставропольский край . го Ессентуки . ул Октябрьская *** квакв . ****** индекс . Курду **** ******** . ********** о . Если можно напишите номер Карты . я перешлю деньги сразу . спасибо большое о
2,"Здравствуйте **** . Можно ли заказать следующие модели : Блуза модель ** легкая ткань цена **** руб ( ***** размер ) , Блуза мод *** Плотная ткань цена **** руб ( ***** размер ) , Блуза м ********* руб ( ***** размер ) , брюки м *** ткань легкая **** руб . Спасибо . ",simpleTree,вопросы о товаре,Здравствуйте **** . Можно ли заказать следующие модели о Блуза модель ** легкая ткань цена **** руб о ***** размер о о Блуза мод *** Плотная ткань цена **** руб о ***** размер о о Блуза мы ********* руб о ***** размер о о брюки мы *** ткань легкая **** руб . Спасибо .
3,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
4,Можете сказать фирму блузы ? ,simpleTree,вопросы о товаре,Можете сказать фирму блузы о
5,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
6,"Спасибо я вам напишу в течение недели , какова доставка ? ",simpleTree,более 1 категории,Спасибо я вам напишу в течение недели о какова доставка о
7,Здравствуйте ! Меня заинтересовал этот товар . Где узнать размерный ряд ? ,simpleTree,вопросы о товаре,Здравствуйте о Меня заинтересовал этот товар . Где узнать размерный ряд о
8,Да .. ,simpleTree,общеразговорные,Да ..
9,Да дороги плохие зимой ! ,simpleTree,другие,Да дороги плохие зимой о
10,Не могу понять почему так жизнь несправедлива ( ,simpleTree,другие,Не могу понять почему так жизнь несправедлива о
11,Ага ( ,simpleTree,общеразговорные,Ага о
12,Из дисков ? ,simpleTree,вопросы о товаре,Из дисков о
13,"***** , может рамку эту ? ",simpleTree,вопросы о товаре,***** о может рамку эту о
14,Кайфовая штука ,simpleTree,общеразговорные,Кайфовав штука
15,"В сб ) да жду , но еще позвоню , а то может они со мной одной возиться не будут ",simpleTree,вопросы о сервисе,В со о да жду о но еще позвоню о а то может они со мной одной возиться не будут
16,"Спасибо , ***** ",simpleTree,общеразговорные,Спасибо о *****
17,"Ты правда скажи ей , ***** , скажи что неприятно ловить взгляды такие было ",simpleTree,другие,Ты правда скажи ей о ***** о скажи что неприятно ловить взгляды такие было
18,"Видала ) ) ) поняла , что грубанула ",simpleTree,другие,Видала о о о поняла о что рубанула
19,Ну да ) ,simpleTree,другие,Ну да о
20,"Она рассказывала , что с папой был разговор и что много советов дал ",simpleTree,другие,Она рассказывала о что с папой был разговор и что много советов дал
21,Ненадолго хватает ,simpleTree,другие,Ненадолго хватает
22,"Причём ей все поголовно говорят , в том числе отец ",simpleTree,другие,Причем ей все поголовно говорят о в том числе отец
23,Меня б тоже ! ****** ******* тоже жаль ... ,simpleTree,другие,Меня б тоже о ****** ******* тоже жаль ...
24,"Просто если ей так стремно , что мы грязнили , зачем тогда звать в гости ) ",simpleTree,другие,Просто если ей так стремно о что мы грязнили о зачем тогда звать в гости о
25,Ну да ,simpleTree,общеразговорные,Ну да
26,**** сидела молчала ,simpleTree,другие,**** сидела молчала
27,Ну типа как так можно и Сане нашу грязную одежду показывала ,simpleTree,другие,Ну типа как так можно и Сане нашу грязную одежду показывала
28,"Мне знаешь ещё что неприятно бывает , мы как-то были у них и Деля фломастеры взяла и вся выпачкалась , так Катюха с таким пренебрежением на неё , типа мы свиньи ",simpleTree,другие,Мне знаешь еще что неприятно бывает о мы как-то были у них и Деля фломастеры взяла и вся выпачкалась о так Катюха с таким пренебрежением на нет о типа мы свиньи
29,Я бы на твоём месте ей поедъявила ,simpleTree,другие,Я бы на твоим месте ей предъявила
30,Ну да ,simpleTree,общеразговорные,Ну да
31,"Пусть поймёт , что тебе теперь никайф ",simpleTree,другие,Пусть поймет о что тебе теперь ни кайф
32,"***** , не советую ехать сегодня ",simpleTree,другие,***** о не советую ехать сегодня
33,Да нет пока ,simpleTree,общеразговорные,Да нет пока
34,Да все ок ,simpleTree,общеразговорные,Да все ко
35,В течении скольких дней будет доставка в ******** ,simpleTree,вопросы о сервисе,В течении скольких дней будет доставка в ********
36,** ,simpleTree,другие,**
37,"низ подошел даже свободно как-то , а верх маловат , я думаю лучше с подворотом , главное **** , этот розовый как для барби , я хотела как на фото тёмный прямо ",simpleTree,вопросы о товаре,низ подошел даже свободно как-то о а верх маловат о я думаю лучше с поворотом о главное **** о этот розовый как для барии о я хотела как на фото томный прямо
38,насчет обмена ,simpleTree,вопросы о сервисе,насчет обмена
39,а как ? ,simpleTree,общеразговорные,а как о
40,"блуза маленькая оказалась , но это мой косяк ",simpleTree,вопросы о товаре,блуза маленькая оказалась о но это мой косяк
41,"почему **** фуксия , был же лиловый ? ? ? ",simpleTree,вопросы о товаре,почему **** фуксия о был же лиловый о о о
42,"мы говорили про брюки с резинками , почему прислали с подворотами ? ? ? ",simpleTree,вопросы о сервисе,мы говорили про брюки с резинками о почему прислали с поворотами о о о
43,спасибо ,simpleTree,общеразговорные,спасибо
44,"напишете перед отправкой , оплачу по карте ",simpleTree,вопросы о сервисе,напишете перед отправкой о оплачу по карте
45,что по поводу оплаты ? ,simpleTree,вопросы о сервисе,что по поводу оплаты о
46,рост *** обх . груди *** обх . бедер *** ,simpleTree,вопросы о товаре,рост *** обл . груди *** обл . бедер ***
47,********** * ,simpleTree,другие,********** о
48,********** * ,simpleTree,другие,********** о
49,да ,simpleTree,общеразговорные,да
50,можно сшить брюки такого же цвета и к ним вот такую блузу ? ,simpleTree,вопросы о товаре,можно сшить брюки такого же цвета и к ним вот такую блузу о
51,я согласна ,simpleTree,общеразговорные,я согласна
52,и ***** доставку выходит **** ,simpleTree,вопросы о сервисе,и ***** доставку выходит ****
53,сколько будет стоить ? ,simpleTree,вопросы о товаре,сколько будет стоить о
54,"как на * втором фото , там же вроде резинки внизу или нет ? ",simpleTree,вопросы о товаре,как на о втором фото о там же вроде резинки внизу или нет о
55,"скажите пожалуйста у вас не шьют брюки такие как на комбинезоне , в смысле отдельно от верха , давно такие хотела и нигде не могу найти , везде быстро раскупают ",simpleTree,вопросы о товаре,скажите пожалуйста у вас не шьют брюки такие как на комбинезоне о в смысле отдельно от верха о давно такие хотела и нигде не могу найти о везде быстро раскупают
56,т . е выйдет где-то ****** ***** ,simpleTree,вопросы о товаре,те . те выйдет где-то ****** *****
57,Спасибо ,simpleTree,общеразговорные,Спасибо
58,Жалко ) ) ,simpleTree,общеразговорные,Жалко о о
59,"*** , скажите пожалуйста , а обувь такая которая на фото девушки , у вас есть в продаже ? ) ) ) ",simpleTree,вопросы о товаре,*** о скажите пожалуйста о а обувь такая которая на фото девушки о у вас есть в продаже о о о о
60,Я оплачу прямо сейчас ,simpleTree,вопросы о сервисе,Я оплачу прямо сейчас
61,Можно и по карте ,simpleTree,вопросы о сервисе,Можно и по карте
62,"Да , те же ) ) ) спасибо , большое ) у вас костюмы просто отличные ",simpleTree,вопросы о товаре,Да о те же о о о спасибо о большое о у вас костюмы просто отличные
63,"Желательно прямо костюмами , только белые брюки можно одни ) ) ) ",simpleTree,вопросы о товаре,Желательно прямо костюмами о только белые брюки можно одни о о о
64,Как это сделать ? ,simpleTree,общеразговорные,Как это сделать о
65,***** размер ,simpleTree,другие,***** размер
66,Здравствуйте . Хочу оформить заказ . ,simpleTree,вопросы о сервисе,Здравствуйте . Хочу оформить заказ .
67,"Хорошо , распечатаю от сюда ! Спасибо ! ",simpleTree,более 1 категории,Хорошо о распечатаю от сюда о Спасибо о
68,Можно выслать бланк на оплату на электронную почту : ******************** ,simpleTree,вопросы о сервисе,Можно выслать бланк на оплату на электронную почту о ********************
69,Нужны ваши реквизиты ,simpleTree,вопросы о сервисе,Нужны ваши реквизиты
70,"*** , здравствуйте ! Получила посылку , но забрать не могу , потому что нет бланка на оплату , что делать ? ",simpleTree,более 1 категории,*** о здравствуйте о Получила посылку о но забрать не могу о потому что нет бланка на оплату о что делать о
71,"*** , здравствуйте ! Скажите , пожалуйста , мой заказ ещё не готов ? ",simpleTree,более 1 категории,*** о здравствуйте о Скажите о пожалуйста о мой заказ еще не готов о
72,Спасибо ! ,simpleTree,общеразговорные,Спасибо о
73,Оплачивать буду при получении ,simpleTree,вопросы о сервисе,Оплачивать буду при получении
74,********** ******* ************* ,simpleTree,другие,********** ******* *************
75,Отлично ! Я готова подождать ! ,simpleTree,вопросы о сервисе,Отлично о Я готова подождать о
76,Из плотной ткани ) ,simpleTree,вопросы о товаре,Из плотной ткани о
77,Телефон ********** * ,simpleTree,другие,Телефон ********** о
78,Только именно костюмами можно ? ,simpleTree,вопросы о товаре,Только именно костюмами можно о
79,"Адрес : ****** Свердловская обл . , г . Сухой Лог , ул . ****** д . ** , кв . * . Размер ** ",simpleTree,вопросы о сервисе,Адрес о ****** Свердловская обл . о го . Сухой Лог о ул . ****** да . ** о кв . о . Размер **
80,"Здравствуйте , скажите , пожалуйста , как можно оформить заказ ? Как проводится оплата ? ",simpleTree,более 1 категории,Здравствуйте о скажите о пожалуйста о как можно оформить заказ о Как проводится оплата о
81,https://www.bgoperator.ru/price.shtml?flt=100410000050&tid=26&code=102610084348&action=shw#/~htf/-1/01.08.2017/0010719810.0010720120.0010720120.0010719810/4/104610168311/102510005349 ,simpleTree,другие,http о //www.bgoperator.ru/price.shtml о flt=100410000050 о tid=26 о code=102610084348 о action=shw о /~htf/-1/01.08.2017/0010719810.0010720120.0010720120.0010719810/4/104610168311/102510005349
82,https://www.bgoperator.ru/price.shtml?flt=100410000050&tid=26&code=102610026739&action=shw#/~htf/-1/01.08.2017/0010719810.0010719810.0010719810.0010720120.0010720120/4/104610157178/102510005355 ,simpleTree,другие,http о //www.bgoperator.ru/price.shtml о flt=100410000050 о tid=26 о code=102610026739 о action=shw о /~htf/-1/01.08.2017/0010719810.0010719810.0010719810.0010720120.0010720120/4/104610157178/102510005355
83,*** там комменты на главной к комбенизону ,simpleTree,другие,*** там ком менты на главной к комбинезон
84,Ну че розыгрыш не делаете ? ,simpleTree,вопросы о сервисе,Ну те розыгрыш не делаете о
85,Поговори мне еще ,simpleTree,другие,Поговори мне еще
86,Я неделю назад начал тебе писать ,simpleTree,другие,Я неделю назад начал тебе писать
87,Точно ,simpleTree,общеразговорные,Точно
88,А ,simpleTree,общеразговорные,А
89,? ? ? ,simpleTree,другие,о о о
90,Ты читаешь и игноришь ,simpleTree,другие,Ты читаешь и игнорируем
91,*** ! ! Числа ставят ,simpleTree,другие,*** о о Числа ставят
92,Ну напиши в розыгрыше ) ,simpleTree,другие,Ну напиши в розыгрыше о
93,https://vk.com/highlights_paint6 ,simpleTree,другие,http о //vk.com/highlights_paint6
94,Не **** ,simpleTree,другие,Не ****
95,Чайник ставить ? ,simpleTree,другие,Чайник ставить о
96,Кофе некому делать ? ,simpleTree,другие,Кофе некому делать о
97,********** **** ,simpleTree,другие,********** ****
98,Думаю нет ! У нас же не эта целевая аудитория ,simpleTree,другие,Думаю нет о У нас же не эта целевая аудитория
99,Нет ,simpleTree,общеразговорные,Нет
100,"*** , здравствуйте . У вас есть номер отслеживания моего заказа ? Что то не пришел еще .. думаю может на почте спросить по номеру ? ",simpleTree,другие,*** о здравствуйте . У вас есть номер отслеживания моего заказа о Что то не пришел еще .. думаю может на почте спросить по номеру о
101,"Да , пришлете ? Наложенный платеж если можно . ",simpleTree,вопросы о сервисе,Да о пришлете о Наложенный платеж если можно .
102,** размер ,simpleTree,другие,** размер
103,"Здравствуйте , вот такой халатик хочу заказать , возможно ? ",simpleTree,более 1 категории,Здравствуйте о вот такой халатик хочу заказать о возможно о
104,Спасибо . *********** . В след раз закажу ,simpleTree,более 1 категории,Спасибо . *********** . В след раз закажу
105,Хорошо . ,simpleTree,общеразговорные,Хорошо .
106,"*** , здравствуйте . Мне тоже белые кеды можно получить ? Размер **** есть ? ",simpleTree,более 1 категории,*** о здравствуйте . Мне тоже белые кеды можно получить о Размер **** есть о
107,Размер ** ,simpleTree,другие,Размер **
108,Отлично ! Отправляйте ,simpleTree,вопросы о сервисе,Отлично о Отправляйте
109,"Напишите , пожалуйста , когда отправите . ",simpleTree,вопросы о сервисе,Напишите о пожалуйста о когда отправите .
110,"Зеленый тогда , если можно ",simpleTree,вопросы о товаре,Зеленый тогда о если можно
111,А **** только такой возможен будет ? Я подожду ** дн ,simpleTree,вопросы о сервисе,А **** только такой возможен будет о Я подожду ** дн
112,"Размер ** , Адрес ****** , Московская область , город ****** ул ******** д ** кв ** *********** **** ************* . Идеально если отправите наложенным платежом . ",simpleTree,вопросы о сервисе,Размер ** о Адрес ****** о Московская область о город ****** ул ******** да ** кв ** *********** **** ************* . Идеально если отправите наложенным платежом .
113,"*** , добрый день . Я хочу узнать о заказе вот такой блузы http://m.vk.com/photo-45062169_388700242?list=9aca3f144e82c17eb2&from=feedback&z=photo-45062169_388700242%2F9aca3f144e82c17eb2 ",simpleTree,более 1 категории,*** о добрый день . Я хочу узнать о заказе вот такой блузы http о //m.vk.com/photo-45062169_388700242 о list=9aca3f144e82c17eb2 о from=feedback о z=photo-45062169_388700242 о 2F9aca3f144e82c17eb2
114,Смс почемуто нет ,simpleTree,вопросы о сервисе,Мс почему нет
115,Ну тогда ** ,simpleTree,другие,Ну тогда **
116,Вот только точно не определюсь с размером . Шьют по разному Иногда ** хорошо и44 ,simpleTree,вопросы о товаре,Вот только точно не определюсь с размером . Шьют по разному Иногда ** хорошо или
117,Вам спасибо . ,simpleTree,общеразговорные,Вам спасибо .
118,Очень хорошо ,simpleTree,общеразговорные,Очень хорошо
119,Нужно ,simpleTree,общеразговорные,Нужно
120,Хорошо . ,simpleTree,общеразговорные,Хорошо .
121,Чисто белый ,simpleTree,вопросы о товаре,Чисто белый
122,**** белый ,simpleTree,вопросы о товаре,**** белый
123,* . Размер ** . * . г . *** . ул . Проспект Октября ** кв . ** индекс ****** . ********** ******* ********** . Тел . ********** * ,simpleTree,более 1 категории,о . Размер ** . о . го . *** . ул . Проспект Октября ** кв . ** индекс ****** . ********** ******* ********** . Тел . ********** о
124,Как можно заказать у вас халат ? ,simpleTree,вопросы о сервисе,Как можно заказать у вас халат о
125,Летний халат-сарафан без воротника ,simpleTree,вопросы о товаре,Летний халат-сарафан без воротника
126,Можно заказать такой халат ***** размера ? г . *** ,simpleTree,вопросы о товаре,Можно заказать такой халат ***** размера о го . ***
127,"доброго времени суток , сегодня смска с трэк номером не приходила , или это ничего страшного ? ",simpleTree,более 1 категории,доброго времени суток о сегодня смеска с трек номером не приходила о или это ничего страшного о
128,"Хорошо , спасибо ) ",simpleTree,общеразговорные,Хорошо о спасибо о
129,Перевела ) ,simpleTree,вопросы о сервисе,Перевела о
130,давайте я оплачу вам на карту ,simpleTree,вопросы о сервисе,давайте я оплачу вам на карту
131,Оплата сразу или при доставке ? ,simpleTree,вопросы о сервисе,Оплата сразу или при доставке о
132,Выбираю доставку почтой ) сколько по времени идёт ? ) ,simpleTree,вопросы о сервисе,Выбираю доставку почтой о сколько по времени идут о о
133,И какая стоимость доставки будет в мой район ,simpleTree,вопросы о сервисе,И какая стоимость доставки будет в мой район
134,"* . г . ***** , ****** ** , квартира ** , почтовый индекс ****** * . Лысёнок ******** ********** * . ********** * Если выберу доставку курьером , то время доставки согласовывается ? ",simpleTree,вопросы о сервисе,о . го . ***** о ****** ** о квартира ** о почтовый индекс ****** о . Лысинок ******** ********** о . ********** о Если выберу доставку курьером о то время доставки согласовывается о
135,то есть доставка в любом случае **** + доставка в зависимости от вида - курьерская или почтой ? ,simpleTree,вопросы о сервисе,то есть доставка в любом случае **** о доставка в зависимости от вида о курьерская или почтой о
136,"ну по этой сетке ** размер , а они вообще свободными идут или по фигуре ? ",simpleTree,вопросы о товаре,ну по этой сетке ** размер о а они вообще свободными идут или по фигуре о
137,А есть размерная сетка ? вообще ** ,simpleTree,вопросы о товаре,А есть размерная сетка о вообще **
138,Вот эти лосины ,simpleTree,вопросы о товаре,Вот эти лосины
139,https://vk.com/photo-45062169_456239074?api_access_key=f09ae603fdaf9491ba ,simpleTree,другие,http о //vk.com/photo-45062169_456239074 о api_access_key=f09ae603fdaf9491ba
140,Как размер определить ? ,simpleTree,вопросы о товаре,Как размер определить о
141,Здравствуйте ! Интересует эта туника и лосины . https://vk.com/photo-45062169_410837364?api_access_key=bec64ab3e72d3e47ff ,simpleTree,более 1 категории,Здравствуйте о Интересует эта туника и лосины . http о //vk.com/photo-45062169_410837364 о api_access_key=bec64ab3e72d3e47ff
142,********** * ,simpleTree,другие,********** о
143,Да ,simpleTree,общеразговорные,Да
144,Напомните номер Карты ? ,simpleTree,вопросы о сервисе,Напомните номер Карты о
145,Можно тогда брюки белые из плотной ткани *** и халатик темно синий *** . Сколько это получтся ? \ ,simpleTree,вопросы о товаре,Можно тогда брюки белые из плотной ткани *** и халатик темно синий *** . Сколько это получится о о
146,Халат ** размер . Какие есть цвета ? ,simpleTree,вопросы о товаре,Халат ** размер . Какие есть цвета о
147,"Брюки белые , из плотной ткани , размер ** ",simpleTree,вопросы о товаре,Брюки белые о из плотной ткани о размер **
148,"**** , добрый вечер ! Подскажите пожалуйста , можно заказать брюки и халатик ? ",simpleTree,более 1 категории,**** о добрый вечер о Подскажите пожалуйста о можно заказать брюки и халатик о
149,Здравствуйте ! Вчера все получила ) ) спасибо ! ,simpleTree,более 1 категории,Здравствуйте о Вчера все получила о о спасибо о
150,"Добрый день ! *** , а вы деньги ещё не переводили ? ",simpleTree,более 1 категории,Добрый день о *** о а вы деньги еще не переводили о
151,**** **** **** **** ***** ******* П Только я на почту смогу во вторник зайти . Завтра и в понедельник дежурю ,simpleTree,вопросы о сервисе,**** **** **** **** ***** ******* ЧП Только я на почту смогу во вторник зайти . Завтра и в понедельник дежурю
152,Как теперь быть ? ,simpleTree,общеразговорные,Как теперь быть о
